City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
422,Inisa,NG,78.39,light rain,7.85,4.3333,Olori Palace
423,Mahanoro,MG,71.13,clear sky,-19.9,48.8,BUNGALOW MAHAMANINA
425,Am Timan,TD,78.82,light rain,11.0297,20.2827,Palais du chef Canton Salamt
426,Ryotsu,JP,74.84,broken clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
427,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
428,Teguise,ES,88.02,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
429,Aksay,RU,70.02,overcast clouds,47.26,39.87,Chernaya Zhemchuzhina
430,Coxim,BR,77.59,clear sky,-18.5067,-54.76,Rancho Da Curica
434,Panzhihua,CN,75.13,broken clouds,26.5851,101.7128,Electric Power Hotel
435,Vao,NC,72.21,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
436,Pochutla,MX,86.83,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
438,Hargeysa,SO,83.14,overcast clouds,9.56,44.065,City Center Hotel
439,Nacala,MZ,75.11,clear sky,-14.5428,40.6728,Nacala Plaza Business Design Hotel
440,Mbaiki,CF,79.11,overcast clouds,3.8678,17.9892,Motel MBM
441,Goderich,CA,80.92,overcast clouds,43.7501,-81.7165,Harmony Inn
443,Road Town,VG,87.89,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
445,Marzuq,YE,84.2,broken clouds,14.4,46.4667,حيد القفلة
448,Glendive,US,74.48,clear sky,47.1053,-104.7125,Super 8 by Wyndham Glendive
449,Katsuura,JP,78.82,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
450,Tomatlan,MX,86.41,overcast clouds,19.9333,-105.25,El Salvial
453,Shahr-E Babak,IR,77.41,clear sky,30.1165,55.1186,سلاطین مس و نقره
455,Malanje,AO,87.33,overcast clouds,-9.5402,16.341,Hotel Ginga
457,Mountain Home,US,71.08,broken clouds,43.133,-115.6912,Mountain Home Inn
458,Chapais,CA,71.38,broken clouds,49.7834,-74.8492,Hôtel Opémiska
459,Nova Olimpia,BR,75.04,clear sky,-14.7972,-57.2881,Motel glamour
460,Isabela,PH,78.85,overcast clouds,6.7085,121.9711,Isawad Resort
461,Longview,US,80.55,broken clouds,32.5007,-94.7405,Homewood Suites by Hilton Longview
463,Port Moresby,PG,71.02,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
465,Winchester,GB,76.24,scattered clouds,51.0651,-1.3187,Lainston House
467,Sechura,PE,71.6,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
468,San Jose De Rio Tinto,HN,89.17,scattered clouds,14.9333,-85.7,PARQUE ECOTURISTICO QUILIZ
470,Curaca,BR,87.58,clear sky,-8.9903,-39.9094,Hotel Recanto Campestre
471,Portales,US,79.11,overcast clouds,34.1862,-103.3344,"Holiday Inn Express & Suites Portales, an IHG Hotel"
474,Shitanjing,CN,79.0,overcast clouds,39.2342,106.3439,Yingbin Hotel
476,Varzea Da Palma,BR,87.03,clear sky,-17.5981,-44.7308,Casa Fernandes
478,Lazaro Cardenas,MX,86.05,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
479,Ulcinj,ME,86.22,clear sky,41.9294,19.2244,Hotel Palata Venezia
480,Santa Barbara,US,70.34,clear sky,34.7333,-120.0343,Upper Ballard Campground
485,Wajima,JP,74.93,broken clouds,37.4,136.9,Wajiima Onsen Yashio
486,Hasaki,JP,77.4,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
489,Saint-Francois,FR,78.24,scattered clouds,46.4154,3.9054,Manoir Du Bonheur
492,Buin,CL,73.87,clear sky,-33.7333,-70.75,Paihuen
496,Pho Chai,TH,77.09,light rain,16.3283,103.7703,ก๊อฟคุงยางมือสอง
497,Kokkola,FI,78.96,clear sky,63.8385,23.1307,Hotel Kokkola
499,Yibin,CN,86.72,overcast clouds,28.7667,104.6238,Handsome Guesthouse
501,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
503,Marsh Harbour,BS,85.17,clear sky,26.5412,-77.0636,Abaco Beach Resort
504,Lebanon,US,80.17,overcast clouds,36.2081,-86.2911,Hampton Inn & Suites Lebanon
505,Kumluca,TR,88.21,clear sky,36.3703,30.2869,Akkol Apart
507,Namatanai,PG,78.39,light rain,-3.6667,152.4333,Seagulls Inn Namatani
508,Samarai,PG,77.58,broken clouds,-10.6167,150.6667,Nuli Sapi
509,Harper,LR,78.55,overcast clouds,4.375,-7.7169,Screensaver
510,Forssa,FI,77.41,overcast clouds,60.8146,23.6215,Hotel Fabrik Forssa
514,Lasa,IT,77.68,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
515,Manado,ID,81.37,few clouds,1.487,124.8455,Aryaduta Hotel
516,Ambovombe,MG,71.17,clear sky,-25.1667,46.0833,RELAHARA
517,Ikom,NG,81.19,light rain,5.9667,8.7063,Ebenezer Beim excellence hotel
518,Severodvinsk,RU,78.91,few clouds,64.5635,39.8302,Park Hotel
521,Kupang,ID,75.67,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
526,Duma,CN,76.82,broken clouds,34.7653,108.135,永寿服务区-宾馆
